iter	Passed	Remaining
0	1	153
1	2	131
2	3	123
3	4	114
4	5	113
5	7	112
6	8	110
7	9	109
8	10	107
9	11	105
10	13	105
11	14	105
12	15	103
13	16	101
14	17	100
15	18	99
16	19	97
17	21	96
18	22	94
19	23	93
20	24	92
21	25	90
22	26	89
23	27	88
24	29	87
25	30	86
26	31	85
27	32	83
28	33	82
29	35	81
30	36	80
31	37	79
32	38	78
33	39	76
34	40	75
35	41	74
36	43	73
37	44	72
38	45	71
39	46	70
40	47	68
41	48	66
42	49	65
43	50	64
44	51	63
45	52	62
46	54	60
47	55	59
48	56	58
49	57	57
50	59	56
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	48
58	67	47
59	68	45
60	70	44
61	71	43
62	72	42
63	74	41
64	75	40
65	76	39
66	77	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	86	30
74	87	29
75	88	27
76	89	26
77	90	25
78	92	24
79	93	23
80	94	22
81	95	20
82	96	19
83	97	18
84	98	17
85	99	16
86	100	15
87	102	13
88	103	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	115	0
